date,estimated_capital,peak,drawdown
2018-11-16,22629646.27928767,22991651.156,-0.015745057814947724
2018-11-19,22606037.26558904,22991651.156,-0.016771909411574745
2018-11-20,22598167.594356164,22991651.156,-0.01711419327711703
2018-11-21,22590297.923123285,22991651.156,-0.017456477142659476
2018-11-22,22582428.25189041,22991651.156,-0.017798761008201762
2018-11-26,22550949.566958904,22991651.156,-0.019167896470371065
2018-11-27,22543079.895726025,22991651.156,-0.019510180335913514
2018-11-28,22535210.22449315,22991651.156,-0.0198524642014558
2018-11-29,22527340.55326027,22991651.156,-0.020194748066998246
2018-11-30,22519470.8820274,22991651.156,-0.02053703193254037
2018-12-03,22495861.868328765,22991651.156,-0.02156388352916755
2018-12-04,22487992.19709589,22991651.156,-0.021906167394709835
2018-12-05,22480122.52586301,22991651.156,-0.022248451260252284
2018-12-06,22472252.85463014,22991651.156,-0.022590735125794407
2018-12-07,22464383.18339726,22991651.156,-0.022933018991336856
2018-12-10,22440774.16969863,22991651.156,-0.023959870587963873
2018-12-11,22432904.49846575,22991651.156,-0.02430215445350632
2018-12-12,22425034.82723288,22991651.156,-0.024644438319048445
2018-12-13,22417165.156,22991651.156,-0.02498672218459089
2018-12-14,22409295.484767124,22991651.156,-0.025329006050133177
2018-12-17,22385686.47106849,22991651.156,-0.026355857646760357
2018-12-18,22377816.799835615,22991651.156,-0.026698141512302643
2018-12-19,22369947.12860274,22991651.156,-0.02704042537784493
2018-12-20,22362077.457369864,22991651.156,-0.027382709243387215
2018-12-21,22354207.786136985,22991651.156,-0.02772499310892966
2018-12-25,22322729.10120548,22991651.156,-0.029094128571098964
2018-12-26,22314859.429972604,22991651.156,-0.02943641243664125
2018-12-27,22306989.758739725,22991651.156,-0.0297786963021837
2018-12-28,22299120.08750685,22991651.156,-0.030120980167725984
2019-01-04,22244032.38887671,22991651.156,-0.03251696722652247
2019-01-07,22220423.375178084,22991651.156,-0.03354381882314932
2019-01-08,22212553.703945205,22991651.156,-0.03388610268869177
2019-01-09,22204684.03271233,22991651.156,-0.03422838655423406
2019-01-10,22196814.36147945,22991651.156,-0.0345706704197765
2019-01-11,22188944.690246575,22991651.156,-0.03491295428531879
2019-01-15,22157466.00531507,22991651.156,-0.036282089747488096
2019-01-16,22149596.33408219,22991651.156,-0.036624373613030545
2019-01-17,22141726.662849315,22991651.156,-0.03696665747857283
2019-01-18,22133856.991616435,22991651.156,-0.037308941344115276
2019-01-21,22110247.97791781,22991651.156,-0.03833579294074213
2019-01-22,22102378.30668493,22991651.156,-0.03867807680628458
2019-01-23,22094508.635452054,22991651.156,-0.03902036067182686
2019-01-24,22086638.964219175,22991651.156,-0.03936264453736931
2019-01-25,22078769.292986304,22991651.156,-0.039704928402911434
2019-01-28,22055160.27928767,22991651.156,-0.040731779999538614
2019-01-29,22047290.608054794,22991651.156,-0.041074063865080904
2019-01-30,22039420.936821915,22991651.156,-0.04141634773062335
2019-01-31,22031551.265589043,22991651.156,-0.041758631596165476
2019-02-01,22023681.594356164,22991651.156,-0.04210091546170792
2019-02-04,22000072.580657534,22991651.156,-0.04312776705833494
